,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kindergartners with All Required Immunizations (All Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,
California,90.8%,92.3%,92.5%,92.9%,92.8%,92.7%,92.1%,91.7%,91.1%,90.7%,91.0%,90.3%,90.2%,90.4%,92.8%,95.6%,95.1%,94.8%,,,,,,,,,,,
Alameda County,89.3%,90.7%,90.8%,91.2%,92.8%,91.5%,91.5%,90.7%,91.1%,90.2%,90.0%,87.2%,88.9%,88.6%,95.9%,97.2%,97.1%,96.6%,,,,,,,,,,,
Alameda County Office of Education (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.9%,75.7%,75.4%,84.2%,73.3%,94.8%,S,S,,,,,,,,,,,
Alameda Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.7%,91.3%,95.6%,90.7%,96.4%,96.7%,95%,S,S,,,,,,,,,,,
Albany City Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.0%,89.4%,83.5%,76.5%,67.5%,95.5%,95%,S,95%,,,,,,,,,,,
Berkeley Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.6%,76.9%,77.1%,83.7%,85.0%,84.7%,95%,S,S,,,,,,,,,,,
Castro Valley Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.5%,92.9%,87.3%,90.3%,94.7%,95.2%,95%,S,S,,,,,,,,,,,
Dublin Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.8%,88.7%,97.4%,94.9%,92.2%,97.9%,95%,S,S,,,,,,,,,,,
Emery Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.3%,55.0%,51.5%,64.2%,50.0%,N/A,S,95%,95%,,,,,,,,,,,
Fremont Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.1%,92.7%,96.3%,95.6%,96.7%,98.3%,95%,S,S,,,,,,,,,,,
Hayward Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.3%,92.2%,88.8%,90.7%,91.9%,96.1%,95%,S,S,,,,,,,,,,,
Livermore Valley Joint Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.8%,96.7%,94.4%,N/A,95.0%,96.6%,95%,S,S,,,,,,,,,,,
Mountain House Elementary (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,,,,,,,,,,,
New Haven Unified (School District),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.2%,91.9%,98.2%,95.1%,99.6%,95%,S,S,,,,,,,,,,,
